Name	Hash
GIAB-XTHS3	0332f0b7
L19-00829-XTHS2	035db906
19-0089-XTHS3	0a353051
17-0854-XTHS3	117d6810
L19-00741-125ng-XTHS1	1c688d1a
2018-1258-225ng-XTHS1	1f68a4a5
2018-1258-150ng-XTHS1	20e6cb2a
19-0231-XTHS2	42d6be51
19-0590-XTHS3	490b1425
L19-00692-XTHS2	498467cd
17-1467-XTHS3	5a0fbb61
17-0986-XTHS3	5a6336ef
L19-00741-150ng-XTHS1	5b0fdda9
2019-0231-3-XTHS1	5c56eb39
19-0700-XTHS2	61540f26
2019-0231-2-XTHS1	6470fd33
17-1419-XTHS3	65113d50
17-0911-XTHS3	6c5b8e9e
19-0231-XTHS3	7b4289bc
L19-01335-XTHS3	7b780304
GIAB-XTHS2	836e55df
2018-1258-125ng-XTHS1	8769cdd5
L19-00280-XTHS2	87a2d0d6
L19-00741-225ng-XTHS1	8c15805d
L19-00741-XTHS3	8eaf3d1e
18-1430-XTHS2	917a56a3
14-0465-XTHS3	934b9eea
14-1462-XTHS2	960afacc
18-1977-XTHS2	965d7fd9
GIAB-1-XTHS1	99100bfe
GIAB-2-XTHS1	9ce194ac
2018-1258-75ng-XTHS1	9d118806
17-1895-XTHS3	a08b3ced
17-0666-XTHS2	a32156a5
L20-00264-XTHS3	b33ae28b
18-1022-XTHS3	b4420065
2018-1258-10ng-XTHS1	bd3a15cd
18-1810-XTHS2	c5ad3b8b
15-0380-XTHS2	caf0f677
19-0666-XTHS2	ce69a7b5
2019-0231-1-XTHS1	cee572c4
L19-00741-10ng-XTHS1	cff38d06
L19-00741-75ng-XTHS1	d4c004c1
14-1420-XTHS2	e5ec77ba
L19-00741-XTHS2	eb39a877
18-1130-XTHS2	eb43a097
19-0270-XTHS3	f6528cc7
GIAB-3-XTHS1	fed05884
